ID,Region,fgm,country
BeninAlibori,Alibori,0.368080428,Benin
BeninAtacora,Atacora,0.205405489,Benin
BeninAtlantique,Atlantique,0.022228845,Benin
BeninBorgou,Borgou,0.598513121,Benin
BeninCollines,Collines,0.135918208,Benin
BeninCouffo,Couffo,0,Benin
BeninDonga,Donga,0.581403474,Benin
BeninLittoral,Littoral,0.036704826,Benin
BeninMono,Mono,0.010763113,Benin
BeninOueme,Oueme,0.017439163,Benin
BeninPlateau,Plateau,0.109323712,Benin
BeninZou,Zou,0.004075946,Benin
Burkina FasoBoucle du Mouhoun,Boucle du Mouhoun,0.700145817,Burkina Faso
Burkina FasoCascades,Cascades,0.819013342,Burkina Faso
Burkina FasoCentre,Centre,0.660201525,Burkina Faso
Burkina FasoCentre-Est,Centre-Est,0.894567731,Burkina Faso
Burkina FasoCentre-Nord,Centre-Nord,0.866390951,Burkina Faso
Burkina FasoCentre-Ouest,Centre-Ouest,0.547790958,Burkina Faso
Burkina FasoCentre-Sud,Centre-Sud,0.681932051,Burkina Faso
Burkina FasoEst,Est,0.699497204,Burkina Faso
Burkina FasoHauts-Bassins,Hauts-Bassins,0.819361745,Burkina Faso
Burkina FasoNord,Nord,0.875575349,Burkina Faso
Burkina FasoPlateau Central,Plateau Central,0.876556079,Burkina Faso
Burkina FasoSahel,Sahel,0.781473133,Burkina Faso
Burkina FasoSud-Ouest,Sud-Ouest,0.792489789,Burkina Faso
Central African RepublicBamingui-Bangoran,Bamingui-Bangoran,0.800972968,Central African Republic
Central African RepublicBangui,Bangui,0.186049622,Central African Republic
Central African RepublicBasse-Kotto,Basse-Kotto,0.665218204,Central African Republic
Central African RepublicHaute-Kotto,Haute-Kotto,0.693480415,Central African Republic
Central African RepublicHaut-Mbomou,Haut-Mbomou,0.054114735,Central African Republic
Central African RepublicKémo,Kémo,0.666058188,Central African Republic
Central African RepublicLobaye,Lobaye,0.119432265,Central African Republic
Central African RepublicMambéré-Kadéï,Mambéré-Kadéï,0.143151528,Central African Republic
Central African RepublicMbomou,Mbomou,0.057435935,Central African Republic
Central African RepublicNana-Gribizi,Nana-Gribizi,0.670688387,Central African Republic
Central African RepublicNana-Mambéré,Nana-Mambéré,0.034273614,Central African Republic
Central African RepublicOmbella M'Poko,Ombella M'Poko,0.321927059,Central African Republic
Central African RepublicOuaka,Ouaka,0.764098436,Central African Republic
Central African RepublicOuham,Ouham,0.351503956,Central African Republic
Central African RepublicOuham Pendé,Ouham Pendé,0.027167238,Central African Republic
Central African RepublicSangha-Mbaéré,Sangha-Mbaéré,0.057411825,Central African Republic
Central African RepublicVakaga,Vakaga,0.621651937,Central African Republic
ChadBarh El Gazal,Barh El Gazal,0.054770009,Chad
ChadBatha,Batha,0.796427875,Chad
ChadBorkou/Tibesti,Borkou/Tibesti,0.018769166,Chad
ChadChari Baguirmi,Chari Baguirmi,0.424961283,Chad
ChadEnnedi Est/Ennedi Ouest,Ennedi Est/Ennedi Ouest,0.123834493,Chad
ChadGuéra,Guéra,0.90012339,Chad
ChadHadjer-Lamis,Hadjer-Lamis,0.460404369,Chad
ChadKanem,Kanem,0.006513558,Chad
ChadLac,Lac,0.007017334,Chad
ChadLogone Occidental,Logone Occidental,0.059639962,Chad
ChadLogone Oriental,Logone Oriental,0.245256386,Chad
ChadMandoul,Mandoul,0.828879915,Chad
ChadMayo Kebbi Est,Mayo Kebbi Est,0.060307602,Chad
ChadMayo Kebbi Ouest,Mayo Kebbi Ouest,0.025328349,Chad
ChadMoyen Chari,Moyen Chari,0.534281747,Chad
ChadN'Djaména,N'Djaména,0.376224628,Chad
ChadOuaddaï,Ouaddaï,0.820200475,Chad
ChadSalamat,Salamat,0.962341971,Chad
ChadSila,Sila,0.937332505,Chad
ChadTandjilé,Tandjilé,0.139806646,Chad
ChadWadi Fira,Wadi Fira,0.514094303,Chad
Cote d'IvoireAbidjan,Abidjan,0.356073142,Cote d'Ivoire
Cote d'IvoireCentral,Central,0.207563235,Cote d'Ivoire
Cote d'IvoireEast Central,East Central,0.284888431,Cote d'Ivoire
Cote d'IvoireNorth,North,0.837277142,Cote d'Ivoire
Cote d'IvoireNorth Central,North Central,0.537503908,Cote d'Ivoire
Cote d'IvoireNortheast,Northeast,0.264524911,Cote d'Ivoire
Cote d'IvoireNorthwest,Northwest,0.795847365,Cote d'Ivoire
Cote d'IvoireSouth,South,0.344795654,Cote d'Ivoire
Cote d'IvoireSouthwest,Southwest,0.442389203,Cote d'Ivoire
Cote d'IvoireWest,West,0.645443336,Cote d'Ivoire
Cote d'IvoireWest Central,West Central,0.40868306,Cote d'Ivoire
EgyptAlexandria,Alexandria,0.792333543,Egypt
EgyptAssuit,Assuit,0.936801804,Egypt
EgyptAswan,Aswan,0.981055509,Egypt
EgyptBehera,Behera,0.911407024,Egypt
EgyptBeni Suef,Beni Suef,0.9766051,Egypt
EgyptCairo,Cairo,0.834175084,Egypt
EgyptDakahlia,Dakahlia,0.90513187,Egypt
EgyptDamietta,Damietta,0.768801617,Egypt
EgyptFayoum,Fayoum,0.938539903,Egypt
EgyptGharbia,Gharbia,0.951513161,Egypt
EgyptGiza,Giza,0.937611063,Egypt
EgyptIsmailia,Ismailia,0.932830661,Egypt
EgyptKafr El-Sheikh,Kafr El-Sheikh,0.962137267,Egypt
EgyptKalyubia,Kalyubia,0.964494943,Egypt
EgyptLuxor,Luxor,0.997323254,Egypt
EgyptMatroh,Matroh,0.152730606,Egypt
EgyptMenoufia,Menoufia,0.948697746,Egypt
EgyptMenya,Menya,0.932436051,Egypt
EgyptNew Valley,New Valley,0.974485955,Egypt
EgyptPort Said,Port Said,0.7275,Egypt
EgyptQena,Qena,0.990756646,Egypt
EgyptRed Sea,Red Sea,0.892176284,Egypt
EgyptSharkia,Sharkia,0.946729072,Egypt
EgyptSouhag,Souhag,0.983979775,Egypt
EgyptSuez,Suez,0.837234043,Egypt
EritreaAnseba,Anseba,0.991,Eritrea
EritreaDebub,Debub,0.979,Eritrea
EritreaDebubawi Keih Bahri,Debubawi Keih Bahri,0.994,Eritrea
EritreaGash-Barka,Gash-Barka,0.99,Eritrea
EritreaMaekal,Maekal,0.981,Eritrea
EritreaSemenawi Keih Bahri,Semenawi Keih Bahri,0.994,Eritrea
EthiopiaAddis Abeba,Addis Abeba,0.53811486,Ethiopia
EthiopiaAffar,Affar,0.910174096,Ethiopia
EthiopiaAmhara,Amhara,0.615812901,Ethiopia
EthiopiaBen-Gumz,Ben-Gumz,0.629066696,Ethiopia
EthiopiaDire Dawa,Dire Dawa,0.751450392,Ethiopia
EthiopiaGambela,Gambela,0.330351511,Ethiopia
EthiopiaHarari,Harari,0.817354813,Ethiopia
EthiopiaOromiya,Oromiya,0.74474425,Ethiopia
EthiopiaSNNP,SNNP,0.619606334,Ethiopia
EthiopiaSomali,Somali,0.981619341,Ethiopia
EthiopiaTigray,Tigray,0.241186384,Ethiopia
GhanaAshanti,Ashanti,0.037518059,Ghana
GhanaBrong Ahafo,Brong Ahafo,0.10880945,Ghana
