country,region,ID,fgm,se,year.fgm,source.fgm,source.shapefile,year.shapefile,comment
Benin,Alibori,BeninAlibori,0.368080428,0.06041484,2014,MICS,DHS,2012,
Benin,Atacora,BeninAtacora,0.205405489,0.049841977,2014,MICS,DHS,2012,
Benin,Atlantique,BeninAtlantique,0.022228845,0.009461962,2014,MICS,DHS,2012,
Benin,Borgou,BeninBorgou,0.598513121,0.051293189,2014,MICS,DHS,2012,
Benin,Collines,BeninCollines,0.135918208,0.024101332,2014,MICS,DHS,2012,
Benin,Couffo,BeninCouffo,0,0,2014,MICS,DHS,2012,
Benin,Donga,BeninDonga,0.581403474,0.056180822,2014,MICS,DHS,2012,
Benin,Littoral,BeninLittoral,0.036704826,0.00809667,2014,MICS,DHS,2012,
Benin,Mono,BeninMono,0.010763113,0.007501507,2014,MICS,DHS,2012,
Benin,Oueme,BeninOueme,0.017439163,0.009128836,2014,MICS,DHS,2012,
Benin,Plateau,BeninPlateau,0.109323712,0.038840406,2014,MICS,DHS,2012,
Benin,Zou,BeninZou,0.004075946,0.003025698,2014,MICS,DHS,2012,
Burkina Faso,Boucle du Mouhoun,Burkina FasoBoucle du Mouhoun,0.700145817,0.030630668,2010,DHS,DHS,2010,
Burkina Faso,Cascades,Burkina FasoCascades,0.819013342,0.020204576,2010,DHS,DHS,2010,
Burkina Faso,Centre,Burkina FasoCentre,0.660201525,0.017643126,2010,DHS,DHS,2010,
Burkina Faso,Centre-Est,Burkina FasoCentre-Est,0.894567731,0.011320992,2010,DHS,DHS,2010,
Burkina Faso,Centre-Nord,Burkina FasoCentre-Nord,0.866390951,0.017289233,2010,DHS,DHS,2010,
Burkina Faso,Centre-Ouest,Burkina FasoCentre-Ouest,0.547790958,0.041166552,2010,DHS,DHS,2010,
Burkina Faso,Centre-Sud,Burkina FasoCentre-Sud,0.681932051,0.032349294,2010,DHS,DHS,2010,
Burkina Faso,Est,Burkina FasoEst,0.699497204,0.038616532,2010,DHS,DHS,2010,
Burkina Faso,Hauts-Bassins,Burkina FasoHauts-Bassins,0.819361745,0.020641077,2010,DHS,DHS,2010,
Burkina Faso,Nord,Burkina FasoNord,0.875575349,0.018300466,2010,DHS,DHS,2010,
Burkina Faso,Plateau Central,Burkina FasoPlateau Central,0.876556079,0.012561923,2010,DHS,DHS,2010,
Burkina Faso,Sahel,Burkina FasoSahel,0.781473133,0.059595252,2010,DHS,DHS,2010,
Burkina Faso,Sud-Ouest,Burkina FasoSud-Ouest,0.792489789,0.02972136,2010,DHS,DHS,2010,
Central African Republic,Bamingui-Bangoran,Central African RepublicBamingui-Bangoran,0.800972968,0.019683746,2010,MICS,OCHA.HDX,2014,
Central African Republic,Bangui,Central African RepublicBangui,0.186049622,0.027533051,2010,MICS,OCHA.HDX,2014,
Central African Republic,Basse-Kotto,Central African RepublicBasse-Kotto,0.665218204,0.044179661,2010,MICS,OCHA.HDX,2014,
Central African Republic,Haute-Kotto,Central African RepublicHaute-Kotto,0.693480415,0.030713254,2010,MICS,OCHA.HDX,2014,
Central African Republic,Haut-Mbomou,Central African RepublicHaut-Mbomou,0.054114735,0.018793541,2010,MICS,OCHA.HDX,2014,
Central African Republic,Kémo,Central African RepublicKémo,0.666058188,0.024519586,2010,MICS,OCHA.HDX,2014,
Central African Republic,Lobaye,Central African RepublicLobaye,0.119432265,0.03313356,2010,MICS,OCHA.HDX,2014,
Central African Republic,Mambéré-Kadéï,Central African RepublicMambéré-Kadéï,0.143151528,0.036641687,2010,MICS,OCHA.HDX,2014,
Central African Republic,Mbomou,Central African RepublicMbomou,0.057435935,0.025157345,2010,MICS,OCHA.HDX,2014,
Central African Republic,Nana-Mambéré,Central African RepublicNana-Mambéré,0.034273614,0.009193275,2010,MICS,OCHA.HDX,2014,
Central African Republic,Nana-Gribizi,Central African RepublicNana-Gribizi,0.670688387,0.020895784,2010,MICS,OCHA.HDX,2014,
Central African Republic,Ombella M'Poko,Central African RepublicOmbella M'Poko,0.321927059,0.047869582,2010,MICS,OCHA.HDX,2014,
Central African Republic,Ouaka,Central African RepublicOuaka,0.764098436,0.028941084,2010,MICS,OCHA.HDX,2014,
Central African Republic,Ouham,Central African RepublicOuham,0.351503956,0.067483197,2010,MICS,OCHA.HDX,2014,
Central African Republic,Ouham Pendé,Central African RepublicOuham Pendé,0.027167238,0.013605375,2010,MICS,OCHA.HDX,2014,
Central African Republic,Sangha-Mbaéré,Central African RepublicSangha-Mbaéré,0.057411825,0.014138368,2010,MICS,OCHA.HDX,2014,
Central African Republic,Vakaga,Central African RepublicVakaga,0.621651937,0.168818252,2010,MICS,OCHA.HDX,2014,
Chad,Barh El Gazal,ChadBarh El Gazal,0.054770009,0.020061451,2015,DHS,DHS,2015,
Chad,Batha,ChadBatha,0.796427875,0.067776119,2015,DHS,DHS,2015,
Chad,Borkou/Tibesti,ChadBorkou/Tibesti,0.018769166,0.01234476,2015,DHS,DHS,2015,
Chad,Chari Baguirmi,ChadChari Baguirmi,0.424961283,0.062091581,2015,DHS,DHS,2015,
Chad,Ennedi Est/Ennedi Ouest,ChadEnnedi Est/Ennedi Ouest,0.123834493,0.062953887,2015,DHS,DHS,2015,Ennedi
Chad,Guéra,ChadGuéra,0.90012339,0.036081404,2015,DHS,DHS,2015,
Chad,Hadjer-Lamis,ChadHadjer-Lamis,0.460404369,0.078612409,2015,DHS,DHS,2015,
Chad,Kanem,ChadKanem,0.006513558,0.003332585,2015,DHS,DHS,2015,
Chad,Lac,ChadLac,0.007017334,0.003604922,2015,DHS,DHS,2015,
Chad,Logone Occidental,ChadLogone Occidental,0.059639962,0.017441551,2015,DHS,DHS,2015,
Chad,Logone Oriental,ChadLogone Oriental,0.245256386,0.069504825,2015,DHS,DHS,2015,
Chad,Mandoul,ChadMandoul,0.828879915,0.028095519,2015,DHS,DHS,2015,
Chad,Mayo Kebbi Est,ChadMayo Kebbi Est,0.060307602,0.017878643,2015,DHS,DHS,2015,
Chad,Mayo Kebbi Ouest,ChadMayo Kebbi Ouest,0.025328349,0.011606299,2015,DHS,DHS,2015,
Chad,Moyen Chari,ChadMoyen Chari,0.534281747,0.056818367,2015,DHS,DHS,2015,
Chad,N'Djaména,ChadN'Djaména,0.376224628,0.027565942,2015,DHS,DHS,2015,
Chad,Ouaddaï,ChadOuaddaï,0.820200475,0.054919183,2015,DHS,DHS,2015,
Chad,Salamat,ChadSalamat,0.962341971,0.013557519,2015,DHS,DHS,2015,
Chad,Sila,ChadSila,0.937332505,0.019495185,2015,DHS,DHS,2015,
Chad,Tandjilé,ChadTandjilé,0.139806646,0.063892959,2015,DHS,DHS,2015,
Chad,Wadi Fira,ChadWadi Fira,0.514094303,0.090209475,2015,DHS,DHS,2015,
Cote d'Ivoire,Abidjan,Cote d'IvoireAbidjan,0.356073142,0.040431116,2016,MICS,DHS,2012,
Cote d'Ivoire,Central,Cote d'IvoireCentral,0.207563235,0.046602327,2016,MICS,DHS,2012,
Cote d'Ivoire,East Central,Cote d'IvoireEast Central,0.284888431,0.036419496,2016,MICS,DHS,2012,
Cote d'Ivoire,North,Cote d'IvoireNorth,0.837277142,0.020909486,2016,MICS,DHS,2012,
Cote d'Ivoire,North Central,Cote d'IvoireNorth Central,0.537503908,0.057519536,2016,MICS,DHS,2012,
Cote d'Ivoire,Northeast,Cote d'IvoireNortheast,0.264524911,0.051591088,2016,MICS,DHS,2012,
Cote d'Ivoire,Northwest,Cote d'IvoireNorthwest,0.795847365,0.026318948,2016,MICS,DHS,2012,
Cote d'Ivoire,South,Cote d'IvoireSouth,0.344795654,0.039681331,2016,MICS,DHS,2012,
Cote d'Ivoire,Southwest,Cote d'IvoireSouthwest,0.442389203,0.036230332,2016,MICS,DHS,2012,
Cote d'Ivoire,West,Cote d'IvoireWest,0.645443336,0.030717671,2016,MICS,DHS,2012,
Cote d'Ivoire,West Central,Cote d'IvoireWest Central,0.40868306,0.058816406,2016,MICS,DHS,2012,
Egypt,Alexandria,EgyptAlexandria,0.792333543,0.026142312,2014,DHS,DHS,2014,
Egypt,Assuit,EgyptAssuit,0.936801804,0.017992636,2014,DHS,DHS,2014,
Egypt,Aswan,EgyptAswan,0.981055509,0.007862955,2014,DHS,DHS,2014,
Egypt,Behera,EgyptBehera,0.911407024,0.011629358,2014,DHS,DHS,2014,
Egypt,Beni Suef,EgyptBeni Suef,0.9766051,0.005470279,2014,DHS,DHS,2014,
Egypt,Cairo,EgyptCairo,0.834175084,0.023073171,2014,DHS,DHS,2014,
Egypt,Dakahlia,EgyptDakahlia,0.90513187,0.012849609,2014,DHS,DHS,2014,
Egypt,Damietta,EgyptDamietta,0.768801617,0.022880523,2014,DHS,DHS,2014,
Egypt,Fayoum,EgyptFayoum,0.938539903,0.01128175,2014,DHS,DHS,2014,
Egypt,Gharbia,EgyptGharbia,0.951513161,0.009076095,2014,DHS,DHS,2014,
Egypt,Giza,EgyptGiza,0.937611063,0.008529557,2014,DHS,DHS,2014,
Egypt,Ismailia,EgyptIsmailia,0.932830661,0.013094385,2014,DHS,DHS,2014,
Egypt,Kafr El-Sheikh,EgyptKafr El-Sheikh,0.962137267,0.007632662,2014,DHS,DHS,2014,
Egypt,Kalyubia,EgyptKalyubia,0.964494943,0.008441585,2014,DHS,DHS,2014,
Egypt,Luxor,EgyptLuxor,0.997323254,0.00168461,2014,DHS,DHS,2014,
